10y,20y,30y,40y,50y
10430.0,10430.0,10430.0,10430.0,10430.0
7562.0,7562.0,7562.0,7562.0,7562.0
11426.0,11426.0,11426.0,11426.0,11426.0
11270.0,11270.0,11270.0,11270.0,11270.0
8582.0,8582.0,8582.0,8582.0,8582.0
12338.0,12338.0,12338.0,12338.0,12338.0
10286.0,10754.0,11534.0,12026.0,12938.0
8222.0,8246.0,8534.0,8606.0,8606.0
10082.0,11414.0,13586.0,14030.0,14666.0
9446.0,9446.0,9446.0,9446.0,9446.0
6710.0,6710.0,6710.0,6710.0,6710.0
10394.0,10394.0,10394.0,10394.0,10394.0
10562.0,10562.0,10562.0,10562.0,10562.0
7754.0,7754.0,7754.0,7754.0,7754.0
11558.0,11558.0,11558.0,11558.0,11558.0
7214.0,8462.0,11606.0,12818.0,12818.0
5366.0,5366.0,8822.0,8822.0,8822.0
9326.0,10010.0,12266.0,13394.0,14210.0
8438.0,8438.0,8438.0,8438.0,8438.0
5822.0,5822.0,5822.0,5822.0,5822.0
9350.0,9350.0,9350.0,9350.0,9350.0
9566.0,9566.0,9566.0,9566.0,9566.0
6962.0,6962.0,6962.0,6962.0,6962.0
10490.0,10490.0,10490.0,10490.0,10490.0
9938.0,9938.0,9938.0,10910.0,11282.0
5918.0,5918.0,7238.0,9038.0,9038.0
9710.0,9710.0,12578.0,13130.0,13418.0
8930.0,8930.0,8930.0,8930.0,8930.0
6266.0,6266.0,6266.0,6266.0,6266.0
9878.0,9878.0,9878.0,9878.0,9878.0
9554.0,9554.0,9554.0,9554.0,9554.0
7238.0,7238.0,7238.0,7238.0,7238.0
10646.0,10646.0,10646.0,10646.0,10646.0
7274.0,8090.0,10190.0,10874.0,12506.0
7334.0,7334.0,7334.0,7334.0,7334.0
8210.0,8822.0,11402.0,13958.0,13958.0
8150.0,8150.0,8150.0,8150.0,8150.0
5546.0,5546.0,5546.0,5546.0,5546.0
8990.0,8990.0,8990.0,8990.0,8990.0
9170.0,9170.0,9170.0,9170.0,9170.0
6746.0,6746.0,6746.0,6746.0,6746.0
10154.0,10154.0,10154.0,10154.0,10154.0
5918.0,6074.0,10322.0,10802.0,10802.0
5978.0,5978.0,6482.0,7310.0,7310.0
6938.0,8090.0,10502.0,11738.0,14282.0
7322.0,7322.0,7322.0,7322.0,7322.0
4766.0,4766.0,4766.0,4766.0,4766.0
8210.0,8210.0,8210.0,8210.0,8210.0
8462.0,8462.0,8462.0,8462.0,8462.0
6146.0,6146.0,6146.0,6146.0,6146.0
9326.0,9326.0,9326.0,9326.0,9326.0
7382.0,7982.0,8654.0,9638.0,11558.0
4490.0,4490.0,5978.0,8594.0,8594.0
9854.0,9854.0,9854.0,10142.0,11918.0
8222.0,8222.0,8222.0,8222.0,8222.0
5690.0,5690.0,5690.0,5690.0,5690.0
9050.0,9050.0,9050.0,9050.0,9050.0
8726.0,8726.0,8726.0,8726.0,8726.0
6530.0,6530.0,6530.0,6530.0,6530.0
9710.0,9710.0,9710.0,9710.0,9710.0
8270.0,8846.0,10166.0,11654.0,11690.0
6638.0,6638.0,6638.0,6638.0,6638.0
10598.0,10598.0,10598.0,10742.0,13106.0
7394.0,7394.0,7394.0,7394.0,7394.0
4850.0,4850.0,4850.0,4850.0,4850.0
8198.0,8198.0,8198.0,8198.0,8198.0
8246.0,8246.0,8246.0,8246.0,8246.0
6074.0,6074.0,6074.0,6074.0,6074.0
9194.0,9194.0,9194.0,9194.0,9194.0
6842.0,7838.0,9134.0,10142.0,11726.0
6194.0,6194.0,6194.0,6194.0,6194.0
9890.0,9890.0,10070.0,11246.0,11246.0
6566.0,6566.0,6566.0,6566.0,6566.0
4010.0,4010.0,4010.0,4010.0,4010.0
7466.0,7466.0,7466.0,7466.0,7466.0
7646.0,7646.0,7646.0,7646.0,7646.0
5462.0,5462.0,5462.0,5462.0,5462.0
8474.0,8474.0,8474.0,8474.0,8474.0
8390.0,8390.0,8390.0,9026.0,9470.0
4982.0,5126.0,5486.0,7538.0,7538.0
6938.0,7226.0,8618.0,10982.0,13046.0
8018.0,8018.0,8018.0,8018.0,8018.0
5558.0,5558.0,5558.0,5558.0,5558.0
9014.0,9014.0,9014.0,9014.0,9014.0
8102.0,8102.0,8102.0,8102.0,8102.0
5930.0,5930.0,5930.0,5930.0,5930.0
9002.0,9002.0,9002.0,9002.0,9002.0
9338.0,9338.0,9338.0,10058.0,11246.0
6782.0,6782.0,6782.0,6782.0,6782.0
10142.0,10142.0,10142.0,10142.0,12170.0
7082.0,7082.0,7082.0,7082.0,7082.0
4622.0,4622.0,4622.0,4622.0,4622.0
8198.0,8198.0,8198.0,8198.0,8198.0
7706.0,7706.0,7706.0,7706.0,7706.0
5390.0,5390.0,5390.0,5390.0,5390.0
8426.0,8426.0,8426.0,8426.0,8426.0
5294.0,5294.0,10442.0,10802.0,11882.0
6062.0,6062.0,6062.0,6062.0,6062.0
7466.0,7466.0,10010.0,10538.0,13118.0
6278.0,6278.0,6278.0,6278.0,6278.0
3830.0,3830.0,3830.0,3830.0,3830.0
7142.0,7142.0,7142.0,7142.0,7142.0
6878.0,6878.0,6878.0,6878.0,6878.0
4826.0,4826.0,4826.0,4826.0,4826.0
7886.0,7886.0,7886.0,7886.0,7886.0
7742.0,7742.0,7742.0,9086.0,9086.0
4802.0,4802.0,4898.0,7082.0,7082.0
8678.0,8678.0,8678.0,9842.0,12686.0
8078.0,8078.0,8078.0,8078.0,8078.0
5558.0,5558.0,5558.0,5558.0,5558.0
9302.0,9302.0,9302.0,9302.0,9302.0
7478.0,7478.0,7478.0,7478.0,7478.0
5378.0,5378.0,5378.0,5378.0,5378.0
8150.0,8150.0,8150.0,8150.0,8150.0
9722.0,9722.0,9722.0,9722.0,9722.0
6542.0,6542.0,6542.0,6542.0,6542.0
9914.0,9914.0,9914.0,10490.0,12518.0
7034.0,7034.0,7034.0,7034.0,7034.0
3830.0,4658.0,4658.0,4658.0,4658.0
7886.0,7886.0,7886.0,7886.0,7886.0
6986.0,6986.0,6986.0,6986.0,6986.0
4874.0,4874.0,4874.0,4874.0,4874.0
7850.0,7850.0,7850.0,7850.0,7850.0
8978.0,8978.0,8978.0,8978.0,8978.0
5942.0,5942.0,5942.0,5942.0,5942.0
9794.0,9794.0,10106.0,10406.0,11234.0
6098.0,6098.0,6098.0,6098.0,6098.0
3830.0,3830.0,3830.0,3830.0,3830.0
4394.0,7346.0,7346.0,7346.0,7346.0
6398.0,6398.0,6398.0,6398.0,6398.0
4286.0,4286.0,4286.0,4286.0,4286.0
7178.0,7178.0,7178.0,7178.0,7178.0
8282.0,8282.0,8282.0,8282.0,8282.0
4958.0,4958.0,4970.0,6506.0,6506.0
7430.0,7526.0,9098.0,9782.0,11174.0
10538.0,10538.0,10538.0,10538.0,10538.0
7682.0,7682.0,7682.0,7682.0,7682.0
11906.0,11906.0,11906.0,11906.0,11906.0
11378.0,11378.0,11378.0,11378.0,11378.0
8450.0,8450.0,8450.0,8450.0,8450.0
11582.0,12458.0,12458.0,12458.0,12458.0
10538.0,10538.0,12626.0,12662.0,12662.0
8378.0,8378.0,8594.0,8630.0,8630.0
9998.0,10898.0,14618.0,14654.0,14654.0
9554.0,9554.0,9554.0,9554.0,9554.0
6818.0,6818.0,6818.0,6818.0,6818.0
10658.0,10658.0,10658.0,10658.0,10658.0
10634.0,10634.0,10634.0,10634.0,10634.0
7802.0,7802.0,7802.0,7802.0,7802.0
11654.0,11654.0,11654.0,11654.0,11654.0
9290.0,9686.0,11354.0,12038.0,12290.0
5870.0,5870.0,8006.0,9206.0,9206.0
9926.0,9926.0,12602.0,13742.0,14102.0
8522.0,8522.0,8522.0,8522.0,8522.0
5930.0,5930.0,5930.0,5930.0,5930.0
9518.0,9518.0,9518.0,9518.0,9518.0
9626.0,9626.0,9626.0,9626.0,9626.0
6998.0,6998.0,6998.0,6998.0,6998.0
10538.0,10538.0,10538.0,10538.0,10538.0
9854.0,9914.0,10334.0,10766.0,11726.0
6974.0,6974.0,7226.0,7670.0,7670.0
6446.0,9146.0,11846.0,13658.0,13658.0
9038.0,9038.0,9038.0,9038.0,9038.0
6350.0,6350.0,6350.0,6350.0,6350.0
10106.0,10106.0,10106.0,10106.0,10106.0
9638.0,9638.0,9638.0,9638.0,9638.0
7262.0,7262.0,7262.0,7262.0,7262.0
10742.0,10742.0,10742.0,10742.0,10742.0
8138.0,8522.0,10370.0,11822.0,12938.0
7358.0,7358.0,7358.0,7358.0,7358.0
8798.0,9530.0,11090.0,12338.0,14918.0
8210.0,8210.0,8210.0,8210.0,8210.0
5630.0,5630.0,5630.0,5630.0,5630.0
9026.0,9026.0,9026.0,9026.0,9026.0
9170.0,9170.0,9170.0,9170.0,9170.0
6782.0,6782.0,6782.0,6782.0,6782.0
10238.0,10238.0,10238.0,10238.0,10238.0
7034.0,7718.0,9314.0,10826.0,12602.0
5654.0,5654.0,6674.0,6758.0,7622.0
9698.0,9710.0,10010.0,11630.0,13262.0
7394.0,7394.0,7394.0,7394.0,7394.0
4862.0,4862.0,4862.0,4862.0,4862.0
8282.0,8282.0,8282.0,8282.0,8282.0
8498.0,8498.0,8498.0,8498.0,8498.0
6122.0,6122.0,6122.0,6122.0,6122.0
9374.0,9374.0,9374.0,9374.0,9374.0
5786.0,6230.0,9578.0,10238.0,12098.0
6170.0,6170.0,6386.0,7250.0,7250.0
9254.0,9254.0,10106.0,10910.0,14042.0
8366.0,8366.0,8366.0,8366.0,8366.0
5738.0,5738.0,5738.0,5738.0,5738.0
9230.0,9230.0,9230.0,9230.0,9230.0
8798.0,8798.0,8798.0,8798.0,8798.0
6578.0,6578.0,6578.0,6578.0,6578.0
9746.0,9746.0,9746.0,9746.0,9746.0
7502.0,7934.0,8786.0,10262.0,12530.0
7346.0,7346.0,7346.0,7346.0,7346.0
10514.0,10514.0,10514.0,10574.0,13154.0
7478.0,7478.0,7478.0,7478.0,7478.0
4922.0,4922.0,4922.0,4922.0,4922.0
8474.0,8474.0,8474.0,8474.0,8474.0
8342.0,8342.0,8342.0,8342.0,8342.0
6086.0,6086.0,6086.0,6086.0,6086.0
9230.0,9230.0,9230.0,9230.0,9230.0
9410.0,9410.0,9410.0,9794.0,10070.0
5810.0,5810.0,6146.0,8102.0,8102.0
6674.0,6674.0,9878.0,11258.0,14582.0
6674.0,6674.0,6674.0,6674.0,6674.0
4094.0,4094.0,4094.0,4094.0,4094.0
7550.0,7550.0,7550.0,7550.0,7550.0
7670.0,7670.0,7670.0,7670.0,7670.0
5426.0,5426.0,5426.0,5426.0,5426.0
8522.0,8522.0,8522.0,8522.0,8522.0
8786.0,8786.0,8786.0,8786.0,11018.0
5738.0,5738.0,5738.0,5738.0,5738.0
8930.0,8930.0,8930.0,8930.0,12794.0
8114.0,8114.0,8114.0,8114.0,8114.0
5630.0,5630.0,5630.0,5630.0,5630.0
9074.0,9074.0,9074.0,9074.0,9074.0
8126.0,8126.0,8126.0,8126.0,8126.0
5942.0,5942.0,5942.0,5942.0,5942.0
9170.0,9170.0,9170.0,9170.0,9170.0
9374.0,9566.0,9806.0,9974.0,10442.0
6878.0,6878.0,6878.0,6878.0,6878.0
10178.0,10178.0,10178.0,10178.0,12842.0
7190.0,7190.0,7190.0,7190.0,7190.0
4694.0,4694.0,4694.0,4694.0,4694.0
8186.0,8186.0,8186.0,8186.0,8186.0
7562.0,7562.0,7562.0,7562.0,7562.0
