10y,20y,30y,40y,50y
10334.0,10334.0,10334.0,10334.0,10334.0
7454.0,7454.0,7454.0,7454.0,7454.0
11282.0,11282.0,11282.0,11282.0,11282.0
11162.0,11162.0,11162.0,11162.0,11162.0
8150.0,8150.0,8150.0,8150.0,8150.0
12206.0,12206.0,12206.0,12206.0,12206.0
9746.0,9746.0,12290.0,12434.0,12434.0
8054.0,8054.0,8222.0,8294.0,8294.0
9950.0,11054.0,13706.0,13934.0,13934.0
9374.0,9374.0,9374.0,9374.0,9374.0
6626.0,6626.0,6626.0,6626.0,6626.0
10274.0,10274.0,10274.0,10274.0,10274.0
10454.0,10454.0,10454.0,10454.0,10454.0
7550.0,7550.0,7550.0,7550.0,7550.0
11474.0,11474.0,11474.0,11474.0,11474.0
7274.0,8546.0,11042.0,12326.0,12326.0
4658.0,4658.0,8942.0,8942.0,8942.0
9326.0,9950.0,12074.0,13130.0,13898.0
8306.0,8306.0,8306.0,8306.0,8306.0
5750.0,5750.0,5750.0,5750.0,5750.0
9254.0,9254.0,9254.0,9254.0,9254.0
9458.0,9458.0,9458.0,9458.0,9458.0
6806.0,6806.0,6806.0,6806.0,6806.0
10406.0,10406.0,10406.0,10406.0,10406.0
8378.0,8378.0,10370.0,11990.0,11990.0
5978.0,5978.0,7286.0,8486.0,8486.0
8942.0,8942.0,11954.0,11954.0,15098.0
8894.0,8894.0,8894.0,8894.0,8894.0
6146.0,6146.0,6146.0,6146.0,6146.0
9710.0,9710.0,9710.0,9710.0,9710.0
9398.0,9398.0,9398.0,9398.0,9398.0
7034.0,7034.0,7034.0,7034.0,7034.0
10538.0,10538.0,10538.0,10538.0,10538.0
7394.0,8042.0,9914.0,11318.0,12254.0
7094.0,7094.0,7094.0,7094.0,7094.0
7874.0,8738.0,11258.0,13742.0,13742.0
7994.0,7994.0,7994.0,7994.0,7994.0
5426.0,5426.0,5426.0,5426.0,5426.0
8906.0,8906.0,8906.0,8906.0,8906.0
8942.0,8942.0,8942.0,8942.0,8942.0
6542.0,6542.0,6542.0,6542.0,6542.0
10046.0,10046.0,10046.0,10046.0,10046.0
5918.0,6134.0,10346.0,10502.0,10910.0
5846.0,5846.0,6554.0,7622.0,7622.0
6986.0,8198.0,10514.0,11090.0,13682.0
7178.0,7178.0,7178.0,7178.0,7178.0
4682.0,4682.0,4682.0,4682.0,4682.0
8042.0,8042.0,8042.0,8042.0,8042.0
8378.0,8378.0,8378.0,8378.0,8378.0
5930.0,5930.0,5930.0,5930.0,5930.0
9242.0,9242.0,9242.0,9242.0,9242.0
7250.0,7778.0,8534.0,9386.0,11534.0
4490.0,4490.0,5798.0,7994.0,7994.0
9218.0,9218.0,9290.0,10106.0,13214.0
8102.0,8102.0,8102.0,8102.0,8102.0
5438.0,5438.0,5438.0,5438.0,5438.0
8954.0,8954.0,8954.0,8954.0,8954.0
8510.0,8510.0,8510.0,8510.0,8510.0
6314.0,6314.0,6314.0,6314.0,6314.0
9590.0,9590.0,9590.0,9590.0,9590.0
7994.0,8450.0,9746.0,11270.0,11342.0
6434.0,6434.0,6434.0,6602.0,6602.0
9386.0,9386.0,9386.0,9494.0,13082.0
7274.0,7274.0,7274.0,7274.0,7274.0
4730.0,4730.0,4730.0,4730.0,4730.0
8066.0,8066.0,8066.0,8066.0,8066.0
8018.0,8018.0,8018.0,8018.0,8018.0
5846.0,5846.0,5846.0,5846.0,5846.0
9098.0,9098.0,9098.0,9098.0,9098.0
6914.0,7490.0,8930.0,10418.0,11546.0
5534.0,5534.0,5630.0,7922.0,7922.0
9086.0,9086.0,9086.0,9986.0,13106.0
6434.0,6434.0,6434.0,6434.0,6434.0
3902.0,3902.0,3902.0,3902.0,3902.0
7334.0,7334.0,7334.0,7334.0,7334.0
7454.0,7454.0,7454.0,7454.0,7454.0
5222.0,5222.0,5222.0,5222.0,5222.0
8378.0,8378.0,8378.0,8378.0,8378.0
7514.0,7514.0,8186.0,8546.0,9578.0
4694.0,4742.0,5354.0,7478.0,7478.0
6878.0,7142.0,8426.0,10574.0,12830.0
7802.0,7802.0,7802.0,7802.0,7802.0
5330.0,5330.0,5330.0,5330.0,5330.0
8810.0,8810.0,8810.0,8810.0,8810.0
7814.0,7814.0,7814.0,7814.0,7814.0
5654.0,5654.0,5654.0,5654.0,5654.0
8906.0,8906.0,8906.0,8906.0,8906.0
8666.0,8666.0,8666.0,10214.0,11210.0
6746.0,6746.0,6746.0,6746.0,6746.0
9374.0,9374.0,9422.0,10334.0,12926.0
6914.0,6914.0,6914.0,6914.0,6914.0
4442.0,4442.0,4442.0,4442.0,4442.0
8042.0,8042.0,8042.0,8042.0,8042.0
7346.0,7346.0,7346.0,7346.0,7346.0
5186.0,5186.0,5186.0,5186.0,5186.0
8330.0,8330.0,8330.0,8330.0,8330.0
5906.0,5906.0,9518.0,10070.0,12218.0
5198.0,5198.0,5342.0,6386.0,6386.0
6770.0,6770.0,10010.0,10622.0,12890.0
6206.0,6206.0,6206.0,6206.0,6206.0
3830.0,3830.0,3830.0,3830.0,3830.0
6962.0,6962.0,6962.0,6962.0,6962.0
6638.0,6638.0,6638.0,6638.0,6638.0
4502.0,4502.0,4502.0,4502.0,4502.0
7682.0,7682.0,7682.0,7682.0,7682.0
7526.0,7526.0,7526.0,10094.0,10094.0
4490.0,4490.0,4574.0,7094.0,7094.0
8114.0,8114.0,8402.0,9758.0,12698.0
8042.0,8042.0,8042.0,8042.0,8042.0
3840.0,5486.0,5486.0,5486.0,5486.0
9086.0,9086.0,9086.0,9086.0,9086.0
