10y,20y,30y,40y,50y
9878.0,9878.0,9878.0,9878.0,9878.0
7226.0,7226.0,7226.0,7226.0,7226.0
10970.0,10970.0,10970.0,10970.0,10970.0
8258.0,10010.0,10862.0,10862.0,10862.0
7538.0,7538.0,7538.0,7538.0,7538.0
8966.0,10814.0,12122.0,12326.0,12326.0
8594.0,9638.0,10562.0,10778.0,12014.0
7190.0,7190.0,7778.0,7802.0,7802.0
9122.0,10250.0,11990.0,12650.0,13634.0
9422.0,9422.0,9422.0,9422.0,9422.0
6470.0,6470.0,6470.0,6470.0,6470.0
10094.0,10094.0,10094.0,10094.0,10094.0
9422.0,10190.0,10190.0,10190.0,10190.0
7190.0,7190.0,7190.0,7190.0,7190.0
11270.0,11270.0,11270.0,11270.0,11270.0
6602.0,8090.0,10406.0,11570.0,11570.0
4694.0,4742.0,7514.0,7526.0,7526.0
8438.0,9866.0,11378.0,12806.0,12806.0
8090.0,8090.0,8090.0,8090.0,8090.0
5594.0,5594.0,5594.0,5594.0,5594.0
9170.0,9170.0,9170.0,9170.0,9170.0
9302.0,9302.0,9302.0,9302.0,9302.0
6566.0,6566.0,6566.0,6566.0,6566.0
10262.0,10262.0,10262.0,10262.0,10262.0
7670.0,7670.0,10082.0,10574.0,10574.0
5438.0,5450.0,6362.0,7322.0,7322.0
7550.0,7850.0,10622.0,12254.0,13106.0
8714.0,8714.0,8714.0,8714.0,8714.0
5918.0,5918.0,5918.0,5918.0,5918.0
9494.0,9494.0,9494.0,9494.0,9494.0
9122.0,9122.0,9122.0,9122.0,9122.0
6782.0,6782.0,6782.0,6782.0,6782.0
10358.0,10358.0,10358.0,10358.0,10358.0
7346.0,7814.0,10358.0,10670.0,11582.0
6878.0,6878.0,6878.0,6878.0,6878.0
8906.0,8906.0,11150.0,12326.0,12326.0
7814.0,7814.0,7814.0,7814.0,7814.0
5186.0,5186.0,5186.0,5186.0,5186.0
8690.0,8690.0,8690.0,8690.0,8690.0
8570.0,8570.0,8570.0,8570.0,8570.0
6194.0,6194.0,6194.0,6194.0,6194.0
8462.0,9458.0,9878.0,9878.0,9878.0
5918.0,5918.0,10034.0,10034.0,10034.0
5894.0,5894.0,6086.0,7082.0,7082.0
6422.0,7970.0,10166.0,11690.0,12878.0
6974.0,6974.0,6974.0,6974.0,6974.0
4466.0,4466.0,4466.0,4466.0,4466.0
7922.0,7922.0,7922.0,7922.0,7922.0
8030.0,8030.0,8030.0,8030.0,8030.0
5630.0,5630.0,5630.0,5630.0,5630.0
9062.0,9062.0,9062.0,9062.0,9062.0
7118.0,7574.0,8222.0,9014.0,10910.0
3926.0,3926.0,5390.0,7010.0,7010.0
7670.0,7670.0,9638.0,11534.0,12266.0
7754.0,7754.0,7754.0,7754.0,7754.0
5042.0,5042.0,5042.0,5042.0,5042.0
8666.0,8666.0,8666.0,8666.0,8666.0
8090.0,8090.0,8090.0,8090.0,8090.0
5870.0,5870.0,5870.0,5870.0,5870.0
9278.0,9278.0,9278.0,9278.0,9278.0
7454.0,7526.0,8330.0,9566.0,11138.0
6314.0,6314.0,6314.0,6386.0,6386.0
8126.0,8126.0,10874.0,11138.0,12986.0
7046.0,7046.0,7046.0,7046.0,7046.0
3840.0,4442.0,4442.0,4442.0,4442.0
7802.0,7802.0,7802.0,7802.0,7802.0
7730.0,7730.0,7730.0,7730.0,7730.0
5486.0,5486.0,5486.0,5486.0,5486.0
8834.0,8834.0,8834.0,8834.0,8834.0
6362.0,7178.0,8282.0,9242.0,10742.0
5522.0,5522.0,5522.0,6542.0,6542.0
7910.0,7994.0,9326.0,9914.0,12482.0
6218.0,6218.0,6218.0,6218.0,6218.0
3830.0,3830.0,3830.0,3830.0,3830.0
